2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-ljxiao, U02227313 > deleted-2020-01-09-U02227313
deleted-2019-11-27-rebekkab, U02248167 > deleted-2020-01-09-U02248167
deleted-2019-11-27-awhitel, U02260956 > deleted-2020-01-09-U02260956
deleted-2019-11-27-aheckman, U02266356 > deleted-2020-01-09-U02266356
deleted-2019-11-27-wolgamuk, U02268101 > deleted-2020-01-09-U02268101
deleted-2019-11-27-jstaben, U02269308 > deleted-2020-01-09-U02269308
deleted-2019-11-27-ger, U02273024 > deleted-2020-01-09-U02273024
deleted-2019-11-27-kchiffer, U02312039 > deleted-2020-01-09-U02312039
deleted-2019-11-27-djallen, U02316323 > deleted-2020-01-09-U02316323
deleted-2019-11-27-nscala, U02331317 > deleted-2020-01-09-U02331317
deleted-2019-11-27-katze, U02355195 > deleted-2020-01-09-U02355195
deleted-2019-11-27-tplatt, U02383905 > deleted-2020-01-09-U02383905
deleted-2019-11-27-nikitau, U02419347 > deleted-2020-01-09-U02419347
deleted-2019-11-27-wangcp, U02466723 > deleted-2020-01-09-U02466723
deleted-2019-11-27-kutibal, U02467542 > deleted-2020-01-09-U02467542
deleted-2019-11-27-cmsmaue, U02473626 > deleted-2020-01-09-U02473626
deleted-2019-11-27-klb315, U02483977 > deleted-2020-01-09-U02483977
deleted-2019-11-27-jonpw, U02519030 > deleted-2020-01-09-U02519030
deleted-2019-11-27-gabzhang, U02527013 > deleted-2020-01-09-U02527013
deleted-2019-11-27-larry123, U02545022 > deleted-2020-01-09-U02545022
deleted-2019-11-27-dmerzon, U02562014 > deleted-2020-01-09-U02562014
